id	prompt	waveId	transcription	recResult	language	meaning	edition	category
40	Sag: Mir geht es gut	user-265_2014-12-17_06-47-14_utt_020	*silence		incorrect	incorrect	ST2	A
41	Sag: Mir geht es gut	user-265_2014-12-17_06-47-14_utt_021	xxx	room	incorrect	incorrect	ST2	A
42	Sag: Mir geht es gut	user-265_2014-12-17_06-47-14_utt_022	*silence		incorrect	incorrect	ST2	A
43	Frag: Zimmer für 2 Nächte	user-260_2014-11-25_07-50-55_utt_011	a room for two nights	a room for two nights	correct	correct	ST2	A
44	Frag: Twinzimmer	user-260_2014-11-25_07-50-55_utt_012	yes	yes	incorrect	incorrect	ST2	A
45	Sag: Ich habe keine Reservation	user-260_2014-12-10_06-56-11_utt_002	*silence	i	incorrect	incorrect	ST2	A
46	Sag: Ich habe keine Reservation	user-260_2014-12-10_06-56-11_utt_003	i have no reserv*a reservation	i have no reservation red reservation	correct	correct	ST2	A
48	Sag: Ich habe keine Reservation	user-260_2014-12-10_06-56-11_utt_005	i have no reservation	i have no reservation	correct	correct	ST2	A
49	Sag: Ich habe keine Reservation	user-260_2014-12-10_06-56-11_utt_006	xxx	small	incorrect	incorrect	ST2	A
51	Sag: Ich heisse Silvia	user-260_2014-12-10_06-56-11_utt_009	my name is silvia	my name is silvia	correct	correct	ST2	A
52	Sag: Ich bin aus der Schweiz	user-260_2014-12-10_06-56-11_utt_010	i'm from switzerland	i'm from switzerland	correct	correct	ST2	A
53	Sag: Die Hauptstadt von der Schweiz ist Bern	user-260_2014-12-10_06-56-11_utt_011	the	the	incorrect	incorrect	ST2	A
54	Sag: Die Hauptstadt von der Schweiz ist Bern	user-260_2014-12-10_06-56-11_utt_012	the capital from switzerland is bern	the capital from switzerland is dirty	incorrect	correct	ST2	A
55	Sag: Ich habe 4 Brüder	user-260_2014-12-10_06-56-11_utt_013	i have four brothers	i have four boots	correct	correct	ST2	A
56	Sag: Ich gehe in die Ferien	user-260_2014-12-10_06-56-11_utt_014	i go in the holidays i go in the holidays	i go into holidays i going to holidays	incorrect	incorrect	ST2	A
60	Frag: ein Ticket nach Notting Hill	user-260_2014-12-10_06-56-11_utt_020	i need a ticket to notting hill	i need a ticket to notting hill	correct	correct	ST2	A
61	Sag: Ich möchte mit Visa bezahlen	user-260_2014-12-10_06-56-11_utt_021	i want pay with visa ah scheisse*v	i want pay with visa card	incorrect	correct	ST2	A
63	Sag: Ich möchte mit Euros bezahlen	user-260_2014-12-10_06-56-11_utt_023	i would like pay with euros*z	i would like to pay with dollars	incorrect	correct	ST2	A
64	Sag: Ich möchte mit Euros bezahlen	user-260_2014-12-10_06-56-11_utt_024	i would pay with euros	i would pay with euros	incorrect	correct	ST2	A
67	Frag: Einzelzimmer	user-260_2014-12-17_06-50-54_utt_006	xxx	it's a	incorrect	incorrect	ST2	A
68	Frag: Einzelzimmer	user-260_2014-12-17_06-50-54_utt_007	a zimmer*v alone	a single hello	incorrect	incorrect	ST2	A
69	Frag: Einzelzimmer	user-260_2014-12-17_06-50-54_utt_008	a single room please	a single room please	correct	correct	ST2	A
70	Sag: Ich möchte mit Postkarte bezahlen	user-260_2014-12-17_06-50-54_utt_009	i want pay with a post card	i will pay with the post card	incorrect	correct	ST2	A
71	Sag: Ich möchte mit Postkarte bezahlen	user-260_2014-12-17_06-50-54_utt_010	i want to pay with post card	i want pay with post card	correct	correct	ST2	A
72	Sag: Ich möchte mit Postkarte bezahlen	user-260_2014-12-17_06-50-54_utt_011	i would like to pay by post card	i pay with card pay by post card	correct	correct	ST2	A
73	Frag: Gibt es ein Hotelrestaurant?	user-260_2014-12-17_06-50-54_utt_013	is there a hotel restaurant	is there a hotel restaurant	correct	correct	ST2	A
74	Frag: Wo ist das Hotelrestaurant?	user-260_2014-12-17_06-50-54_utt_014	where is the hotel restaurant	where is the hotel restaurant	correct	correct	ST2	A
76	Frag: ein Steak	user-260_2014-12-17_06-50-54_utt_019	i would like one steak please	i would like want take please	correct	correct	ST2	A
77	Frag: ein Steak	user-260_2014-12-17_06-50-54_utt_020	i would like a steak	i would like a steak	correct	correct	ST2	A
78	Frag: mein Steak blau	user-260_2014-12-17_06-50-54_utt_021	i would like a steak*z blue i would like my steak blue	i would like states room i would like my steak blue	correct	correct	ST2	A
79	Sag: Ich habe keine Reservation	user-283_2014-11-27_06-44-07_utt_002	*silence	this	incorrect	incorrect	ST2	A
80	Sag: Ich habe keine Reservation	user-283_2014-11-27_06-44-07_utt_003	i have no reservation	i have no reservation	correct	correct	ST2	A
81	Sag: Ich habe keine Reservation	user-283_2014-11-27_06-44-07_utt_004	i have no reservation	i have no reservation	correct	correct	ST2	A
82	Sag: Ich habe keine Reservation	user-283_2014-11-27_06-44-07_utt_005	no i don't have a reservation	no i don't have a reservation	correct	correct	ST2	A
83	Sag: Ich habe keine Reservation	user-283_2014-11-27_06-44-07_utt_006	no i do not have a reservation	not my blue have a reservation	correct	correct	ST2	A
84	Frag: Zimmer für 4 Nächte	user-283_2014-11-27_06-44-07_utt_007	a room for four nights	a room for four nights	correct	correct	ST2	A
85	Frag: Zimmer für 4 Nächte	user-283_2014-11-27_06-44-07_utt_008	i want a room for four nights	i want a room for four nights	correct	correct	ST2	A
86	Frag: Junior Suite	user-283_2014-11-27_06-44-07_utt_009	junior suite	junior suite	correct	correct	ST2	A
88	Frag: Gibt es ein Schwimmbad?	user-283_2014-11-27_06-44-07_utt_011	is there a swimming pool	is there a swimming pool	correct	correct	ST2	A
89	Frag: Wo ist das Schwimmbad?	user-283_2014-11-27_06-44-07_utt_012	where is the swimming pool	where is the swimming pool	correct	correct	ST2	A
90	Frag: 4 Tickets nach London	user-283_2014-11-27_06-44-07_utt_015	four tickets to london	four tickets to london	correct	correct	ST2	A
91	Sag: Ich möchte um 20 Uhr morgen abreisen	user-283_2014-11-27_06-44-07_utt_016	i want to leave at eight o'clock tomorrow	i want to leave at eight o'clock tomorrow	correct	correct	ST2	A
92	Sag: Ich möchte um 20 Uhr morgen abreisen	user-283_2014-11-27_06-44-07_utt_017	i want to leave at eight o'clock tomorrow	i want to leave at eight o'clock tomorrow	correct	correct	ST2	A
93	Sag: Ich möchte um 20 Uhr morgen abreisen	user-283_2014-11-27_06-44-07_utt_018	i want to leave at eight o'clock tomorrow	i want to leave at eight o'clock tomorrow	correct	correct	ST2	A
94	Sag: Ich heisse Jack	user-283_2014-11-27_06-44-07_utt_021	my name is jack	my name is jack	correct	correct	ST2	A
95	Sag: Ich bin aus Irland	user-283_2014-11-27_06-44-07_utt_022	i'm from ireland was*v hei*a	i'm from ireland	correct	correct	ST2	A
96	Sag: Ich heisse Barbara	user-283_2014-11-27_06-44-07_utt_025	my name is barbara	my name is barbara	correct	correct	ST2	A
97	Sag: Ich bin aus England	user-283_2014-11-27_06-44-07_utt_026	i am from england i am from england	i am from england	correct	correct	ST2	A
98	Frag: ein Ticket zum Piccadilly Circus	user-283_2014-11-27_06-44-07_utt_028	i want a ticket to piccadilly circus	i want a ticket to piccadilly circus	correct	correct	ST2	A
99	Sag: Ich habe keine Reservation	user-283_2014-12-16_08-28-54_utt_002	i don't have a reservation	i don't have a reservation	correct	correct	ST2	A
100	Sag: Ich habe keine Reservation	user-283_2014-12-16_08-28-54_utt_003	no i do not have a reservation	no i do not have a reservation	correct	correct	ST2	A
101	Frag: Zimmer für 7 Nächte	user-283_2014-12-16_08-28-54_utt_004	i would like a room for seven nights	i would like a room for seven nights	correct	correct	ST2	A
102	Frag: Suite	user-283_2014-12-16_08-28-54_utt_005	a suite	a suite	correct	correct	ST2	A
103	Sag: Ich möchte mit Kreditkarte bezahlen	user-283_2014-12-16_08-28-54_utt_006	i will pay with the credit card	i would pay with the credit card	incorrect	correct	ST2	A
104	Frag: Gibt es ein Hotelrestaurant?	user-283_2014-12-16_08-28-54_utt_007	is there a hotel restaurant	is there a hotel restaurant	correct	correct	ST2	A
105	Frag: Wo ist das Hotelrestaurant?	user-283_2014-12-16_08-28-54_utt_008	where is the hotel restaurant	where is the hotel restaurant	correct	correct	ST2	A
106	Sag: Mein Badezimmer ist dreckig	user-283_2014-12-16_08-28-54_utt_010	my bathroom is dirty	my bathroom is dirty	correct	correct	ST2	A
107	Frag: Wo ist der Haarföhn?	user-283_2014-12-16_08-28-54_utt_012	where is the hairdryer	where is the hairdryer	correct	correct	ST2	A
108	Frag: Wo kann ich einen Haarföhn kaufen?	user-283_2014-12-16_08-28-54_utt_013	where can i buy a hairdryer	where can i buy a hairdryer	correct	correct	ST2	A
109	Frag: 4 Tickets nach London	user-283_2014-12-16_08-28-54_utt_018	four tickets to london please	four tickets to london please	correct	correct	ST2	A
110	Sag: Ich möchte um 14 Uhr morgen abreisen	user-283_2014-12-16_08-28-54_utt_019	i i would oder*v i want i want leave at two pm	i want i want leave at two pm	incorrect	incorrect	ST2	A
112	Sag: Ich heisse Patrick	user-283_2014-12-16_08-28-54_utt_021	my name is patrick	my name is patrick	correct	correct	ST2	A
113	Sag: Ich bin aus England	user-283_2014-12-16_08-28-54_utt_022	i am from england	i am from england	correct	correct	ST2	A
114	Frag: 5 Tickets nach London	user-283_2014-12-16_08-28-54_utt_025	five tickets to london	five tickets to london	correct	correct	ST2	A
115	Sag: Ich möchte am Donnerstagnachmittag abreisen	user-283_2014-12-16_08-28-54_utt_026	i want to leave at thursday afternoon	i want to leave at thursday afternoon	incorrect	correct	ST2	A
117	Sag: Ich bin aus Kanada	user-283_2014-12-16_08-28-54_utt_028	i'm from canada	i'm from canada	correct	correct	ST2	A
118	Frag: Zimmer für 7 Nächte	user-278_2014-12-16_08-25-57_utt_003	i need a hotel room for seven nights	i need a hotel room for seven nights	correct	correct	ST2	A
119	Frag: Junior Suite	user-278_2014-12-16_08-25-57_utt_004	i need a junior suite	i need a junior suite	correct	correct	ST2	A
120	Sag: Ich möchte mit Postkarte bezahlen	user-278_2014-12-16_08-25-57_utt_007	i want pay with the credit card	i want pay with the credit card	incorrect	incorrect	ST2	A
121	Sag: Ich möchte mit Postkarte bezahlen	user-278_2014-12-16_08-25-57_utt_008	i want pay with the post card	i want pay with the post card	incorrect	correct	ST2	A
122	Sag: Ich möchte mit Postkarte bezahlen	user-278_2014-12-16_08-25-57_utt_009	i want to pay with the post card	i want to pay with post card	incorrect	correct	ST2	A
123	Frag: Gibt es einen Lebensmittelladen?	user-278_2014-12-16_08-25-57_utt_011	is there a grocery store	is there a grocery store	correct	correct	ST2	A
124	Sag: Ich habe keine Reservation	user-278_2014-12-16_08-25-57_utt_016	i don't have any reservation	i don't have any reservation	correct	correct	ST2	A
126	Sag: Ich habe keine Reservation	user-278_2014-12-16_08-25-57_utt_018	no i do not have a reservation	no i do not have a reservation	correct	correct	ST2	A
128	Sag: Ich habe keine Reservation	user-286_2014-11-27_07-06-21_utt_003	no i do not have a reservation	no i do not have a reservation	correct	correct	ST2	A
129	Frag: Zimmer für 4 Nächte	user-286_2014-11-27_07-06-21_utt_004	i want a room for four nights	i want a room for four nights	correct	correct	ST2	A
130	Frag: Einzelzimmer	user-286_2014-11-27_07-06-21_utt_006	a single room please	a single room please	correct	correct	ST2	A
131	Sag: Ich habe keine Reservation	user-271_2014-12-16_08-45-56_utt_002	i don't have any res*a reservation	i don't have any reservation	correct	correct	ST2	A
132	Sag: Ich habe keine Reservation	user-271_2014-12-16_08-45-56_utt_003	i don't have a reservation	i don't have a reservation	correct	correct	ST2	A
133	Sag: Ich habe keine Reservation	user-271_2014-12-16_08-45-56_utt_004	no i don't have a reservation	no i don't have a reservation	correct	correct	ST2	A
134	Frag: Zimmer für 1 Woche	user-271_2014-12-16_08-45-56_utt_005	i want a room for one week	i want a room for one week	correct	correct	ST2	A
135	Frag: Doppelzimmer	user-271_2014-12-16_08-45-56_utt_006	i would like a double room	i would like a double room	correct	correct	ST2	A
136	Sag: Ich habe keine Reservation	user-270_2014-12-16_08-29-47_utt_003	ich*v habe*v keine*v reservation*v	lisbon	incorrect	incorrect	ST2	A
137	Sag: Ich habe keine Reservation	user-270_2014-12-16_08-29-47_utt_004	i don't have a reservation	i don't have a reservation	correct	correct	ST2	A
138	Sag: Ich habe keine Reservation	user-270_2014-12-16_08-29-47_utt_005	i don't have a reservation	i don't have a reservation	correct	correct	ST2	A
139	Sag: Ich habe keine Reservation	user-270_2014-12-16_08-29-47_utt_006	i don't have a reservation	i don't have a reservation	correct	correct	ST2	A
143	Frag: Einzelzimmer	user-270_2014-12-16_08-29-47_utt_011	single room	single room	correct	correct	ST2	A
144	Sag: Ich möchte mit Mastercard bezahlen	user-270_2014-12-16_08-29-47_utt_012	i want to pay with the mastercard	i want to pay with mastercard	incorrect	correct	ST2	A
145	Sag: Ich möchte mit Dollars bezahlen	user-270_2014-12-16_08-29-47_utt_013	i want to pay with dollars	i want to pay with dollars	correct	correct	ST2	A
146	Sag: Ich möchte mit Dollars bezahlen	user-270_2014-12-16_08-29-47_utt_014	i want to pay with dollars	i want to pay with dollars	correct	correct	ST2	A
147	Sag: Ich möchte mit Dollars bezahlen	user-270_2014-12-16_08-29-47_utt_015	can i pay with dollars	can i pay with dollars	correct	correct	ST2	A
148	Frag: Gibt es einen Lebensmittelladen?	user-270_2014-12-16_08-29-47_utt_016	is there a grocery store	is there a grocery store	correct	correct	ST2	A
149	Frag: ein Ticket nach London	user-270_2014-12-16_08-29-47_utt_019	can i have a ticket to london	can i have a ticket to london	correct	correct	ST2	A
150	Frag: 5 Tickets nach London	user-270_2014-12-16_16-54-48_utt_002	five tickets to london	five tickets to london	correct	correct	ST2	A
151	Frag: 5 Tickets nach London	user-270_2014-12-16_16-54-48_utt_003	can i have five tickets to london	can i have five tickets to london	correct	correct	ST2	A
153	Sag: Ich möchte am Freitagmorgen abreisen	user-270_2014-12-16_16-54-48_utt_006	i would like to leave on friday morning	i would like leave on friday morning	correct	correct	ST2	A
154	Sag: Ich heisse Nick	user-270_2014-12-16_16-54-48_utt_007	my name is nick	my name is nick	correct	correct	ST2	A
155	Sag: Ich bin aus Frankreich	user-270_2014-12-16_16-54-48_utt_008	my nationality is french	my nationality thanks	incorrect	correct	ST2	A
156	Sag: Ich bin aus Frankreich	user-270_2014-12-16_16-54-48_utt_009	i come from from france	i come from from spain	correct	correct	ST2	A
157	Sag: Ich heisse Paolo	user-270_2014-12-16_16-54-48_utt_012	my name is paolo	my name is paolo	correct	correct	ST2	A
158	Sag: Ich bin aus Amerika	user-270_2014-12-16_16-54-48_utt_013	i came from america	i am from america	incorrect	correct	ST2	A
159	Frag: ein Ticket nach Westminster	user-270_2014-12-16_16-54-48_utt_015	xxx	pay	incorrect	incorrect	ST2	A
160	Frag: ein Ticket nach Westminster	user-270_2014-12-16_16-54-48_utt_016	i would like a ticket to westminster	i would like a ticket for five nights	correct	correct	ST2	A
161	Frag: ein Ticket nach Westminster	user-270_2014-12-16_16-54-48_utt_017	could you give me a ticket to westminster	could you give me a ticket for friday night	correct	correct	ST2	A
162	Sag: Ich möchte mit Kreditkarte bezahlen	user-270_2014-12-16_16-54-48_utt_019	i would pay with the credit card	i would pay with credit card	incorrect	correct	ST2	A
163	Sag: Ich möchte mit Kreditkarte bezahlen	user-270_2014-12-16_16-54-48_utt_020	can i pay by credit card	can i pay by credit card	correct	correct	ST2	A
164	Frag: 4 Musical-Tickets	user-270_2014-12-16_16-54-48_utt_023	i would like fiv*a four musical tickets	i would like to buy four musical tickets	correct	correct	ST2	A
166	Frag: ein Ticket für Donnerstagabend	user-270_2014-12-16_16-54-48_utt_025	i would like tickets for thursday evening	i would like tickets for thursday evening	correct	correct	ST2	A
168	Frag: 4 Tickets für Starlight Express	user-270_2014-12-16_16-54-48_utt_028	i want four tickets for starlight express	i want four tickets for starlight express	correct	correct	ST2	A
171	Frag: Tickets für das London Eye	user-270_2014-12-16_16-54-48_utt_031	can i also have tickets for the london eye	can i also have tickets for the london eye	correct	correct	ST2	A
172	Frag: 1 Ticket	user-270_2014-12-16_16-54-48_utt_032	one ticket please	one ticket please	correct	correct	ST2	A
173	Frag: 1 Ticket	user-270_2014-12-16_16-54-48_utt_033	i would like one ticket	i would like one ticket	correct	correct	ST2	A
174	Frag: einen Kaffee	user-270_2014-12-16_16-54-48_utt_036	i would like a coffee	i would like a coffee	correct	correct	ST2	A
178	Frag: Auberginen	user-270_2014-12-16_16-54-48_utt_040	could i have some aubergines	could i have some please	correct	correct	ST2	A
179	Frag: Ich möchte die Dessertkarte	user-270_2014-12-16_16-54-48_utt_041	i want a the dessert*z card	i want the dessert card	incorrect	correct	ST2	A
180	Frag: Ich möchte die Dessertkarte	user-270_2014-12-16_16-54-48_utt_042	the dessert menu please	the dessert menu please	correct	correct	ST2	A
181	Frag: Zitronenkuchen	user-270_2014-12-16_16-54-48_utt_043	i would like the lemon pie	i would like a lemon park	correct	correct	ST2	A
182	Frag: Ich möchte die Rechnung	user-270_2014-12-16_16-54-48_utt_044	i would like the check	i would like the check	correct	correct	ST2	A
184	Sag: Ich möchte mit Visa bezahlen	user-270_2014-12-16_16-54-48_utt_046	can i pay with visa	can i pay with visa	correct	correct	ST2	A
185	Sag: Ich habe keine Reservation	user-288_2014-11-27_06-46-38_utt_002	*silence		incorrect	incorrect	ST2	A
186	Sag: Ich habe keine Reservation	user-288_2014-11-27_06-46-38_utt_003	*silence		incorrect	incorrect	ST2	A
188	Sag: Ich habe keine Reservation	user-288_2014-11-27_06-46-38_utt_005	*silence		incorrect	incorrect	ST2	A
189	Sag: Ich habe keine Reservation	user-288_2014-11-27_06-46-38_utt_006	*silence		incorrect	incorrect	ST2	A
190	Sag: Ich habe keine Reservation	user-288_2014-11-27_06-46-38_utt_007	*silence		incorrect	incorrect	ST2	A
191	Sag: Ich habe keine Reservation	user-288_2014-11-27_06-46-38_utt_008	ich*v habe*v keine*v reservation*v	is lisbon	incorrect	incorrect	ST2	A
192	Sag: Ich habe keine Reservation	user-288_2014-11-27_06-46-38_utt_009	*silence		incorrect	incorrect	ST2	A
193	Sag: Ich habe keine Reservation	user-288_2014-11-27_06-46-38_utt_010	*silence	double room	incorrect	incorrect	ST2	A
194	Sag: Ich habe keine Reservation	user-288_2014-11-27_06-46-38_utt_011	*silence	a single room	incorrect	incorrect	ST2	A
195	Sag: Ich habe keine Reservation	user-288_2014-11-27_06-46-38_utt_012	*silence		incorrect	incorrect	ST2	A
196	Sag: Ich habe keine Reservation	user-288_2014-11-27_06-46-38_utt_013	*silence	row	incorrect	incorrect	ST2	A
197	Sag: Ich habe keine Reservation	user-288_2014-11-27_06-46-38_utt_014	*silence	nights	incorrect	incorrect	ST2	A
198	Sag: Ich habe keine Reservation	user-288_2014-11-27_06-46-38_utt_015	*silence		incorrect	incorrect	ST2	A
199	Sag: Ich habe keine Reservation	user-288_2014-11-27_06-46-38_utt_016	*silence	i'm from turkey	incorrect	incorrect	ST2	A
200	Sag: Ich habe keine Reservation	user-288_2014-11-27_06-46-38_utt_017	*silence	the	incorrect	incorrect	ST2	A
201	Sag: Ich habe keine Reservation	user-288_2014-11-27_06-46-38_utt_018	xxx	nights	incorrect	incorrect	ST2	A
202	Frag: Zimmer für 4 Nächte	user-288_2014-11-27_07-03-51_utt_003	*silence	single room	incorrect	incorrect	ST2	A
203	Frag: Zimmer für 4 Nächte	user-288_2014-11-27_07-03-51_utt_004	*silence	one room room	incorrect	incorrect	ST2	A
204	Frag: Zimmer für 4 Nächte	user-288_2014-11-27_07-03-51_utt_005	*silence	single room	incorrect	incorrect	ST2	A
205	Frag: Twinzimmer	user-288_2014-11-27_07-03-51_utt_007	*silence	twin room	incorrect	incorrect	ST2	A
206	Frag: Twinzimmer	user-288_2014-11-27_07-03-51_utt_008	*silence	please	incorrect	incorrect	ST2	A
207	Frag: Twinzimmer	user-288_2014-11-27_07-03-51_utt_009	*silence	thirty nine	incorrect	incorrect	ST2	A
208	Sag: Ich habe keine Reservation	user-275_2014-11-27_06-46-22_utt_014	*silence	nights	incorrect	incorrect	ST2	A
209	Sag: Ich habe keine Reservation	user-275_2014-11-27_06-46-22_utt_015	*silence		incorrect	incorrect	ST2	A
210	Sag: Ich habe keine Reservation	user-275_2014-11-27_06-46-22_utt_016	*silence		incorrect	incorrect	ST2	A
211	Sag: Ich habe keine Reservation	user-275_2014-11-27_06-46-22_utt_017	*silence		incorrect	incorrect	ST2	A
212	Sag: Ich habe keine Reservation	user-275_2014-11-27_06-46-22_utt_018	*silence		incorrect	incorrect	ST2	A
213	Sag: Ich habe keine Reservation	user-275_2014-11-27_06-46-22_utt_019	*silence		incorrect	incorrect	ST2	A
214	Frag: Zimmer für 4 Nächte	user-280_2014-11-27_06-41-48_utt_003	*silence		incorrect	incorrect	ST2	A
215	Frag: Zimmer für 4 Nächte	user-280_2014-11-27_06-41-48_utt_004	ein*v zimmer*v für*v vier*v nächte*v	i'm looking jeans	incorrect	incorrect	ST2	A
217	Frag: Zimmer für 7 Nächte	user-280_2014-11-27_06-57-09_utt_004	a room for seven nights	a room for seven nights	correct	correct	ST2	A
218	Frag: Einzelzimmer	user-280_2014-11-27_06-57-09_utt_005	a single room	a single room	correct	correct	ST2	A
219	Sag: Ich möchte mit Mastercard bezahlen	user-280_2014-11-27_06-57-09_utt_006	i would pay with mastercard	i would pay with mastercard	incorrect	correct	ST2	A
221	Sag: Ich möchte mit Mastercard bezahlen	user-280_2014-11-27_06-57-09_utt_008	can i pay with mastercard	can i pay with mastercard	correct	correct	ST2	A
222	Frag: Gibt es ein Schwimmbad?	user-280_2014-11-27_06-57-09_utt_009	is there a swimming pool	is there a swimming pool	correct	correct	ST2	A
223	Frag: Wo ist das Schwimmbad?	user-280_2014-11-27_06-57-09_utt_010	where is the swimming pool	where are swimming pool	correct	correct	ST2	A
224	Frag: 6 Tickets nach London	user-280_2014-11-27_06-57-09_utt_014	six tickets to london	six tickets to london	correct	correct	ST2	A
225	Sag: Ich möchte am Sonntagnachmittag abreisen	user-280_2014-11-27_06-57-09_utt_015	i would leave at sunday afternoon	i would leave at sunday afternoon	incorrect	correct	ST2	A
226	Sag: Ich möchte am Sonntagnachmittag abreisen	user-280_2014-11-27_06-57-09_utt_016	i would take off at sunday afternoon	i want ticket at sunday afternoon	incorrect	incorrect	ST2	A
228	Sag: Ich heisse Silvia	user-280_2014-11-27_06-57-09_utt_018	my name is silvia	my name is silvia	correct	correct	ST2	A
229	Sag: Ich bin aus Deutschland	user-280_2014-11-27_06-57-09_utt_019	i came from germany	i'm from germany	incorrect	correct	ST2	A
230	Sag: Ich habe keine Reservation	user-280_2014-12-16_08-38-33_utt_002	i didn't have any reservation in this hotel in london -xxx	i don't have any reservation michelle london there white yellow	incorrect	correct	ST2	A
231	Sag: Ich habe keine Reservation	user-280_2014-12-16_08-38-33_utt_003	i didn't have any reservation in your hotel	i don't have any reservation hotel	incorrect	correct	ST2	A
232	Sag: Ich habe keine Reservation	user-280_2014-12-16_08-38-33_utt_004	i do not have a reservation	i do not have a reservation	correct	correct	ST2	A
234	Frag: ein Ticket zum Trafalgar Square	user-280_2014-12-17_08-26-09_utt_002	could i have a ticket to the trafalgar*z square	could i have a ticket to the tower bar square	incorrect	incorrect	ST2	A
235	Sag: Ich habe keine Reservation	user-281_2014-12-09_15-24-53_utt_003	*silence		incorrect	incorrect	ST2	A
236	Sag: Ich habe keine Reservation	user-281_2014-12-09_15-24-53_utt_004	*silence		incorrect	incorrect	ST2	A
